================================================================================
                          STRATEGY BACKTEST REPORT                              
================================================================================
Initial Balance:  $   1000.00
Final Balance:    $-632231.83
Net Profit/Loss:  $-633231.83 (-63323.18%)
Win Rate:         29.58%
Max Drawdown:     63323.18%
Total Trades:     524
================================================================================

DETAILED TRADE LOG:
--------------------------------------------------------------------------------
ID    Side   Entry Time         Entry Index   Entry Price   Exit Time          Exit Index   Exit Price   PnL
61    LONG   2026-01-08 07:00   20804         89995.39      2026-01-08 08:00   20996        89968.37     -270.20
62    LONG   2026-01-08 08:00   21010         89968.37      2026-01-08 13:00   22041        91111.38     +11430.10
63    LONG   2026-01-08 14:00   22267         90932.16      2026-01-08 15:00   22466        90927.39     -47.70
64    LONG   2026-01-08 15:00   22480         90927.39      2026-01-08 17:00   22895        91227.41     +3000.20
65    LONG   2026-01-08 18:00   23125         91096.10      2026-01-08 20:00   23546        91056.24     -398.60
66    LONG   2026-01-08 21:00   23779         91031.97      2026-01-08 23:00   24206        91014.16     -178.10
67    LONG   2026-01-09 00:00   24442         91094.31      2026-01-09 02:00   24875        90741.82     -3524.90
68    LONG   2026-01-09 03:00   25114         90038.76      2026-01-09 06:00   25781        90454.41     +4156.50
69    LONG   2026-01-09 07:00   26024         90450.49      2026-01-09 09:00   26471        90149.28     -3012.10
70    LONG   2026-01-09 10:00   26703         91178.82      2026-01-09 12:00   27170        91417.09     +2382.70
71    LONG   2026-01-09 13:00   27419         90816.47      2026-01-09 14:00   27641        90331.00     -4854.70
72    LONG   2026-01-09 14:00   27655         90331.00      2026-01-09 15:00   27878        90301.43     -295.70
73    LONG   2026-01-09 15:00   27892         90301.43      2026-01-09 19:00   28836        90594.29     +2928.60
74    LONG   2026-01-09 20:00   29078         90689.46      2026-01-09 22:00   29565        90628.91     -605.50
75    LONG   2026-01-09 23:00   29824         90454.09      2026-01-10 01:00   30303        90513.01     +589.20
76    LONG   2026-01-10 02:00   30551         90679.99      2026-01-10 03:00   30800        90661.43     -185.60
77    LONG   2026-01-10 04:00   31050         90765.26      2026-01-10 06:00   31553        90725.70     -395.60
78    LONG   2026-01-10 07:00   31820         90731.50      2026-01-10 08:00   32060        90653.74     -777.60
79    LONG   2026-01-10 09:00   32329         90592.40      2026-01-10 12:00   33086        90548.64     -437.60
80    LONG   2026-01-10 13:00   33359         90593.91      2026-01-10 15:00   33866        90574.89     -190.20
81    LONG   2026-01-10 16:00   34142         90512.64      2026-01-10 17:00   34391        90430.00     -826.40
82    LONG   2026-01-10 17:00   34405         90430.00      2026-01-10 20:00   35186        90634.96     +2049.60
83    LONG   2026-01-10 21:00   35453         90698.44      2026-01-11 00:00   36260        90776.67     +782.30
